"group","SID","item","survey_name","value"
"experimental","s015","msg_sharing_broad_3","msg_sharing_broad","65"
"experimental","s016","msg_sharing_broad_3","msg_sharing_broad","84"
"experimental","s018","msg_sharing_broad_3","msg_sharing_broad","50"
"experimental","s020","msg_sharing_broad_3","msg_sharing_broad","84"
"experimental","s022","msg_sharing_broad_3","msg_sharing_broad","75"
"experimental","s025","msg_sharing_broad_3","msg_sharing_broad","33"
"experimental","s027","msg_sharing_broad_3","msg_sharing_broad","17"
"experimental","s028","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s030","msg_sharing_broad_3","msg_sharing_broad","0"
"experimental","s033","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s035","msg_sharing_broad_3","msg_sharing_broad","88"
"experimental","s037","msg_sharing_broad_3","msg_sharing_broad","61"
"experimental","s039","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s041","msg_sharing_broad_3","msg_sharing_broad","16"
"experimental","s042","msg_sharing_broad_3","msg_sharing_broad","72"
"experimental","s044","msg_sharing_broad_3","msg_sharing_broad","83"
"experimental","s046","msg_sharing_broad_3","msg_sharing_broad","32"
"experimental","s049","msg_sharing_broad_3","msg_sharing_broad","78"
"experimental","s051","msg_sharing_broad_3","msg_sharing_broad","5"
"experimental","s053","msg_sharing_broad_3","msg_sharing_broad","80"
"experimental","s055","msg_sharing_broad_3","msg_sharing_broad","95"
"experimental","s057","msg_sharing_broad_3","msg_sharing_broad","48"
"experimental","s058","msg_sharing_broad_3","msg_sharing_broad","8"
"experimental","s061","msg_sharing_broad_3","msg_sharing_broad","71"
"experimental","s062","msg_sharing_broad_3","msg_sharing_broad","55"
"experimental","s064","msg_sharing_broad_3","msg_sharing_broad","99"
"experimental","s066","msg_sharing_broad_3","msg_sharing_broad","9"
"experimental","s068","msg_sharing_broad_3","msg_sharing_broad","33"
"experimental","s072","msg_sharing_broad_3","msg_sharing_broad","97"
"experimental","s073","msg_sharing_broad_3","msg_sharing_broad","1"
"experimental","s074","msg_sharing_broad_3","msg_sharing_broad","63"
"experimental","s076","msg_sharing_broad_3","msg_sharing_broad","48"
"experimental","s078","msg_sharing_broad_3","msg_sharing_broad","48"
"experimental","s081","msg_sharing_broad_3","msg_sharing_broad","22"
"experimental","s082","msg_sharing_broad_3","msg_sharing_broad","89"
"experimental","s085","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s086","msg_sharing_broad_3","msg_sharing_broad","9"
"experimental","s088","msg_sharing_broad_3","msg_sharing_broad","1"
"experimental","s089","msg_sharing_broad_3","msg_sharing_broad","33"
"experimental","s092","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s094","msg_sharing_broad_3","msg_sharing_broad","92"
"experimental","s096","msg_sharing_broad_3","msg_sharing_broad","0"
"experimental","s098","msg_sharing_broad_3","msg_sharing_broad","57"
"experimental","s101","msg_sharing_broad_3","msg_sharing_broad","88"
"experimental","s103","msg_sharing_broad_3","msg_sharing_broad","3"
"experimental","s104","msg_sharing_broad_3","msg_sharing_broad","67"
"experimental","s108","msg_sharing_broad_3","msg_sharing_broad","48"
"experimental","s109","msg_sharing_broad_3","msg_sharing_broad","50"
"experimental","s110","msg_sharing_broad_3","msg_sharing_broad","3"
"experimental","s112","msg_sharing_broad_3","msg_sharing_broad","0"
"experimental","s114","msg_sharing_broad_3","msg_sharing_broad","93"
"experimental","s116","msg_sharing_broad_3","msg_sharing_broad","44"
"experimental","s119","msg_sharing_broad_3","msg_sharing_broad","32"
"experimental","s120","msg_sharing_broad_3","msg_sharing_broad","64"
"experimental","s122","msg_sharing_broad_3","msg_sharing_broad","55"
"experimental","s125","msg_sharing_broad_3","msg_sharing_broad","60"
"experimental","s126","msg_sharing_broad_3","msg_sharing_broad","31"
"experimental","s128","msg_sharing_broad_3","msg_sharing_broad","91"
"experimental","s131","msg_sharing_broad_3","msg_sharing_broad","39"
"experimental","s132","msg_sharing_broad_3","msg_sharing_broad","82"
"experimental","s135","msg_sharing_broad_3","msg_sharing_broad","15"
"experimental","s136","msg_sharing_broad_3","msg_sharing_broad","35"
"experimental","s139","msg_sharing_broad_3","msg_sharing_broad","12"
"experimental","s142","msg_sharing_broad_3","msg_sharing_broad","23"
"experimental","s144","msg_sharing_broad_3","msg_sharing_broad","75"
"experimental","s145","msg_sharing_broad_3","msg_sharing_broad","52"
"experimental","s147","msg_sharing_broad_3","msg_sharing_broad","25"
"experimental","s149","msg_sharing_broad_3","msg_sharing_broad","79"
"experimental","s151","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s153","msg_sharing_broad_3","msg_sharing_broad","12"
"experimental","s155","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s156","msg_sharing_broad_3","msg_sharing_broad","45"
"experimental","s158","msg_sharing_broad_3","msg_sharing_broad","41"
"experimental","s160","msg_sharing_broad_3","msg_sharing_broad","73"
"experimental","s163","msg_sharing_broad_3","msg_sharing_broad","7"
"experimental","s164","msg_sharing_broad_3","msg_sharing_broad","34"
"experimental","s167","msg_sharing_broad_3","msg_sharing_broad","0"
"experimental","s169","msg_sharing_broad_3","msg_sharing_broad","100"
"experimental","s170","msg_sharing_broad_3","msg_sharing_broad","0"
"experimental","s173","msg_sharing_broad_3","msg_sharing_broad","76"
"experimental","s174","msg_sharing_broad_3","msg_sharing_broad","36"
