"cond","SID","survey_name","item","value"
"self","s483","sharing_broad","1_sharing_broad","0"
"other","s485","sharing_broad","1_sharing_broad","9"
"self","s487","sharing_broad","1_sharing_broad","37"
"other","s488","sharing_broad","1_sharing_broad","38"
"self","s490","sharing_broad","1_sharing_broad","16"
"other","s492","sharing_broad","1_sharing_broad","0"
"self","s493","sharing_broad","1_sharing_broad","78"
"other","s494","sharing_broad","1_sharing_broad","70"
"other","s495","sharing_broad","1_sharing_broad","100"
"self","s496","sharing_broad","1_sharing_broad","45"
"other","s497","sharing_broad","1_sharing_broad","52"
"other","s498","sharing_broad","1_sharing_broad","77"
"self","s499","sharing_broad","1_sharing_broad","84"
"other","s502","sharing_broad","1_sharing_broad","88"
"self","s504","sharing_broad","1_sharing_broad","93"
"other","s505","sharing_broad","1_sharing_broad","23"
"other","s506","sharing_broad","1_sharing_broad","84"
"self","s507","sharing_broad","1_sharing_broad","47"
"self","s512","sharing_broad","1_sharing_broad","0"
"other","s513","sharing_broad","1_sharing_broad","3"
"self","s514","sharing_broad","1_sharing_broad","1"
"self","s515","sharing_broad","1_sharing_broad","100"
"other","s516","sharing_broad","1_sharing_broad","64"
"other","s517","sharing_broad","1_sharing_broad","56"
"self","s520","sharing_broad","1_sharing_broad","0"
"self","s522","sharing_broad","1_sharing_broad","58"
"self","s526","sharing_broad","1_sharing_broad","73"
"self","s527","sharing_broad","1_sharing_broad","7"
"other","s529","sharing_broad","1_sharing_broad","48"
"self","s530","sharing_broad","1_sharing_broad","76"
"other","s531","sharing_broad","1_sharing_broad","7"
"self","s532","sharing_broad","1_sharing_broad","78"
"other","s533","sharing_broad","1_sharing_broad","50"
"self","s535","sharing_broad","1_sharing_broad","0"
"self","s537","sharing_broad","1_sharing_broad","51"
"self","s538","sharing_broad","1_sharing_broad","79"
"other","s540","sharing_broad","1_sharing_broad","54"
"other","s541","sharing_broad","1_sharing_broad","0"
"self","s543","sharing_broad","1_sharing_broad","7"
"self","s544","sharing_broad","1_sharing_broad","89"
"other","s545","sharing_broad","1_sharing_broad","64"
"other","s546","sharing_broad","1_sharing_broad","0"
