"survey_name","group","SID","scale_name","item","value"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_social","1","72"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_share","1","57"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_self","2","77"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_social","2","86"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_share","2","51"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_self","3","58"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_social","3","74"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_share","3","44"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_self","4","91"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_social","4","80"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_share","4","60"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_self","5","62"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_rel_social","5","61"
"GOTV 100 million message testing SHORT","dynamic","s013","msg_share","5","33"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_self","1","100"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_social","1","100"
"GOTV 100 million message testing SHORT","control","s014","msg_share","1","0"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_self","2","100"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_social","2","100"
"GOTV 100 million message testing SHORT","control","s014","msg_share","2","0"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_self","3","100"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_social","3","100"
"GOTV 100 million message testing SHORT","control","s014","msg_share","3","0"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_self","4","99"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_social","4","100"
"GOTV 100 million message testing SHORT","control","s014","msg_share","4","0"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_self","5","90"
"GOTV 100 million message testing SHORT","control","s014","msg_rel_social","5","100"
"GOTV 100 million message testing SHORT","control","s014","msg_share","5","1"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_self","1","73"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_social","1","93"
"GOTV 100 million message testing SHORT","static","s015","msg_share","1","65"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_self","2","32"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_social","2","58"
"GOTV 100 million message testing SHORT","static","s015","msg_share","2","49"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_self","3","48"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_social","3","34"
"GOTV 100 million message testing SHORT","static","s015","msg_share","3","64"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_self","4","73"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_social","4","87"
"GOTV 100 million message testing SHORT","static","s015","msg_share","4","67"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_self","5","74"
"GOTV 100 million message testing SHORT","static","s015","msg_rel_social","5","63"
"GOTV 100 million message testing SHORT","static","s015","msg_share","5","87"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_self","1","51"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_social","1","79"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_share","1","0"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_self","2","0"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_social","2","48"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_share","2","0"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_self","3","81"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_social","3","37"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_share","3","0"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_self","4","51"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_social","4","77"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_share","4","0"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_self","5","9"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_rel_social","5","55"
"GOTV 100 million message testing SHORT","dynamic","s016","msg_share","5","0"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_self","1","85"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_social","1","83"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_share","1","19"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_self","2","85"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_social","2","88"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_share","2","86"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_self","3","50"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_social","3","77"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_share","3","11"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_self","4","79"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_social","4","77"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_share","4","28"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_self","5","83"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_rel_social","5","81"
"GOTV 100 million message testing SHORT","dynamic","s017","msg_share","5","87"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_self","1","81"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_social","1","86"
"GOTV 100 million message testing SHORT","static","s019","msg_share","1","82"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_self","2","13"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_social","2","56"
"GOTV 100 million message testing SHORT","static","s019","msg_share","2","25"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_self","3","69"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_social","3","76"
"GOTV 100 million message testing SHORT","static","s019","msg_share","3","29"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_self","4","78"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_social","4","89"
"GOTV 100 million message testing SHORT","static","s019","msg_share","4","75"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_self","5","65"
"GOTV 100 million message testing SHORT","static","s019","msg_rel_social","5","64"
"GOTV 100 million message testing SHORT","static","s019","msg_share","5","23"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_self","1","84"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_social","1","76"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_share","1","52"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_self","2","30"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_social","2","27"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_share","2","19"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_self","3","88"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_social","3","87"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_share","3","7"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_self","4","22"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_social","4","23"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_share","4","17"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_self","5","79"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_rel_social","5","80"
"GOTV 100 million message testing SHORT","dynamic","s020","msg_share","5","9"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_self","1","82"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_social","1","82"
"GOTV 100 million message testing SHORT","static","s021","msg_share","1","83"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_self","2","91"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_social","2","90"
"GOTV 100 million message testing SHORT","static","s021","msg_share","2","89"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_self","3","81"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_social","3","81"
"GOTV 100 million message testing SHORT","static","s021","msg_share","3","81"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_self","4","51"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_social","4","72"
"GOTV 100 million message testing SHORT","static","s021","msg_share","4","73"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_self","5","81"
"GOTV 100 million message testing SHORT","static","s021","msg_rel_social","5","81"
"GOTV 100 million message testing SHORT","static","s021","msg_share","5","80"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_self","1","80"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_social","1","77"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_share","1","48"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_self","2","18"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_social","2","40"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_share","2","10"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_self","3","85"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_social","3","80"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_share","3","68"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_self","4","81"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_social","4","89"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_share","4","43"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_self","5","68"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_rel_social","5","68"
"GOTV 100 million message testing SHORT","dynamic","s022","msg_share","5","9"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_self","1","87"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_social","1","76"
"GOTV 100 million message testing SHORT","static","s023","msg_share","1","59"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_self","2","58"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_social","2","73"
"GOTV 100 million message testing SHORT","static","s023","msg_share","2","91"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_self","3","72"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_social","3","73"
"GOTV 100 million message testing SHORT","static","s023","msg_share","3","38"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_self","4","37"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_social","4","29"
"GOTV 100 million message testing SHORT","static","s023","msg_share","4","29"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_self","5","51"
"GOTV 100 million message testing SHORT","static","s023","msg_rel_social","5","79"
"GOTV 100 million message testing SHORT","static","s023","msg_share","5","88"
"GOTV 100 million message testing SHORT","dynamic","s024","msg_rel_self","1","2"
